127.0.0.1 - - [25/Oct/2014:16:26:18 +0530] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [25/Oct/2014:16:26:19 +0530] "GET /minorProjectWithInder7thSem2/ HTTP/1.1" 200 6692
127.0.0.1 - - [25/Oct/2014:16:26:19 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:26:19 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:26:19 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:26:25 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 200 6692
127.0.0.1 - - [25/Oct/2014:16:26:25 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 200 109369
127.0.0.1 - - [25/Oct/2014:16:26:25 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 200 3492
127.0.0.1 - - [25/Oct/2014:16:26:25 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 200 3454
127.0.0.1 - - [25/Oct/2014:16:26:25 +0530] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [25/Oct/2014:16:26:25 +0530] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [25/Oct/2014:16:26:59 +0530] "GET /minorProjectWithInder7thSem2/Serv3 HTTP/1.1" 302 -
127.0.0.1 - - [25/Oct/2014:16:26:59 +0530] "GET /minorProjectWithInder7thSem2/message.jsp HTTP/1.1" 200 3960
127.0.0.1 - - [25/Oct/2014:16:28:19 +0530] "GET /minorProjectWithInder7thSem2/Serv1?docid=804&fromdept=Student&indept=Reception HTTP/1.1" 302 -
127.0.0.1 - - [25/Oct/2014:16:28:19 +0530] "GET /minorProjectWithInder7thSem2/message.jsp HTTP/1.1" 200 3958
127.0.0.1 - - [25/Oct/2014:16:28:33 +0530] "POST /minorProjectWithInder7thSem2/trackdoc.jsp HTTP/1.1" 200 5092
127.0.0.1 - - [25/Oct/2014:16:28:49 +0530] "POST /minorProjectWithInder7thSem2/trackdoc.jsp HTTP/1.1" 200 6884
127.0.0.1 - - [25/Oct/2014:16:29:17 +0530] "GET /minorProjectWithInder7thSem2/Serv2?docid=804&indept=Reception&todept=Dept1 HTTP/1.1" 302 -
127.0.0.1 - - [25/Oct/2014:16:29:17 +0530] "GET /minorProjectWithInder7thSem2/message.jsp HTTP/1.1" 200 3982
127.0.0.1 - - [25/Oct/2014:16:29:25 +0530] "POST /minorProjectWithInder7thSem2/trackdoc.jsp HTTP/1.1" 200 5541
127.0.0.1 - - [25/Oct/2014:16:29:39 +0530] "POST /minorProjectWithInder7thSem2/trackdoc.jsp HTTP/1.1" 302 -
127.0.0.1 - - [25/Oct/2014:16:29:39 +0530] "GET /minorProjectWithInder7thSem2/message.jsp HTTP/1.1" 200 3964
127.0.0.1 - - [25/Oct/2014:16:29:48 +0530] "GET /minorProjectWithInder7thSem2/Serv1?docid=804&fromdept=Dept1&indept=Reception HTTP/1.1" 302 -
127.0.0.1 - - [25/Oct/2014:16:29:48 +0530] "GET /minorProjectWithInder7thSem2/message.jsp HTTP/1.1" 200 4016
127.0.0.1 - - [25/Oct/2014:16:29:57 +0530] "GET /minorProjectWithInder7thSem2/jackie.html HTTP/1.1" 404 1031
127.0.0.1 - - [25/Oct/2014:16:42:05 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:05 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:05 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:05 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:05 +0530] "GET /minorProjectWithInder7thSem2/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:05 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:05 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:05 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:05 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:06 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:06 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:06 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:06 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:06 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:06 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:06 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:06 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:06 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:06 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:06 +0530] "GET /minorProjectWithInder7thSem2/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:11 +0530] "GET /minorProjectWithInder7thSem2/ HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:11 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:11 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
